day,month,hour,dayofweek,ward,hour_slot,theft,other_offenses,child_offense,sexual_crime,vehicle_theft,deceptive_practice,assault,narcotics,criminal_damage
6,6,19,3,5,4,0.4473265757491306,0.10885133254222147,0.2723977115583657,0.12830371322930378,0.18205067163220823,0.24462642060307077,0.10953501564739326,0.3554541718825647,0.16256549826685285
6,6,19,3,6,4,0.4636906741217448,0.1083493458319962,0.2985388693720018,0.11808851674077843,0.18235604823151275,0.24671661435774953,0.10988287606955895,0.3120202273238244,0.1714679390619443
6,6,19,3,7,4,0.4803759171781009,0.10770735215321858,0.33830818317408706,0.1102002016692893,0.17447317679869742,0.24354460876830702,0.11073687754648656,0.2618568565620999,0.18390793726082447
6,6,19,3,8,4,0.49044491200487006,0.10684141798784484,0.3929482720165349,0.10498700762145315,0.15961760047572066,0.23309128428849815,0.11201391547422099,0.2116743998557481,0.19949230138622015
6,6,19,3,9,4,0.4861116058259741,0.1057321248768953,0.46202780284264444,0.10207509126531995,0.14147245664544775,0.21479101917034754,0.11359075210026118,0.1683573625498449,0.21695289583437605
6,6,19,3,10,4,0.46201700543367885,0.10446139268697742,0.5426379054120721,0.10072319757986042,0.1246724559955089,0.19063970184330986,0.11529718260783102,0.1365327872897086,0.23412948226216376
6,6,19,3,11,4,0.41840162893456145,0.10319137409192813,0.6297587508241316,0.10020886539103922,0.11241936874953197,0.16482588454542524,0.11694945033215612,0.11686604770374658,0.24848974053859088
6,6,19,3,12,4,0.36139189217128465,0.10208774649783564,0.7175482068251625,0.10004974003527477,0.10526334099813542,0.14178671104292367,0.11839570017224765,0.10669294374908082,0.2578948296191659
6,6,19,3,13,4,0.300140594510373,0.1012480337110907,0.8006199474944039,0.10000975958834331,0.10187652372187592,0.12425735270052421,0.11954111233991337,0.10228113022582122,0.26113665681876547
6,6,19,3,14,4,0.24316298111052523,0.1006828881964951,0.8748886004066622,0.10000158040701584,0.1005637718783971,0.11270253275847879,0.12035076451766984,0.10066886469063539,0.2580891271452316
6,6,19,3,15,4,0.19596549034529984,0.10034307096501546,0.9380646411085615,0.10000021186282942,0.10014316797724358,0.10601887443406038,0.1208423649546656,0.10016924586980168,0.2495640435936337
6,6,19,3,16,4,0.16051345105009357,0.10015885213843938,0.9897354824850152,0.10000002360220793,0.10003084929008535,0.1025904902186114,0.12107229115426203,0.10003709822931081,0.23697257294308544
6,6,19,3,17,4,0.13603921493627985,0.1000680629856111,1.030943953624093,0.10000000219379795,0.1000056628538079,0.10101677399375247,0.12111587587087248,0.10000707257663363,0.2219144920762628
6,6,19,3,18,4,0.12034519969100158,0.10002708410086415,1.0634785736236443,0.10000000017075107,0.10000088877756667,0.10036527451251331,0.12104823531989262,0.10000117697757649,0.20584467793730093
6,6,19,3,19,4,0.11091924389879904,0.10001003885281082,1.0892298835640517,0.1000000000111618,0.10000011961871082,0.10012046129231587,0.12093207438938555,0.10000017147685233,0.18989911800702322
6,6,19,3,20,4,0.10558365010239776,0.10000347352982474,1.1098109573394914,0.10000000000061414,0.10000001383580696,0.10003654768878595,0.12081372830702301,0.10000002192000497,0.1748627183871624
6,6,19,3,21,4,0.10272458092783082,0.10000112366312272,1.126435075111121,0.10000000000002848,0.10000000137743173,0.10001021685992509,0.12072475449454838,0.10000000246226332,0.16121535621483984
6,6,19,3,22,4,0.10126992592305181,0.10000034018929722,1.1399506132396395,0.10000000000000112,0.10000000011815094,0.1000026342764717,0.12068578857451728,0.10000000024329228,0.14920180854668924
6,6,19,3,23,4,0.10056577925070534,0.1000000964533637,1.150936713108452,0.10000000000000005,0.10000000000873774,0.10000062688005304,0.1207105071374083,0.10000000002115997,0.138897388251231
6,6,19,3,24,4,0.10024104972463604,0.10000002562284609,1.1598003882451016,0.1,0.10000000000055739,0.1000001377487854,0.12080876930173476,0.10000000000162068,0.13026074046582928
6,6,19,3,25,4,0.10009824382889997,0.10000000637967621,1.1668497693491924,0.1,0.10000000000003069,0.1000000279588533,0.12098877480411716,0.10000000000010935,0.12317428879023228
6,6,19,3,26,4,0.10003831431053682,0.1000000014891871,1.172339297169426,0.1,0.10000000000000146,0.1000000052432101,0.12125841537517584,0.1000000000000065,0.11747507752356738
6,6,19,3,27,4,0.10001430124637604,0.10000000032597126,1.1764924305134419,0.1,0.10000000000000006,0.10000000090870212,0.12162608183747164,0.10000000000000035,0.11297829627914785
6,6,19,3,28,4,0.10000511011899332,0.10000000006692307,1.1795099663102986,0.1,0.1,0.10000000014557249,0.1221011595786321,0.10000000000000002,0.10949487489069172
6,6,19,3,29,4,0.1000017482686484,0.10000000001288888,1.1815709893771122,0.1,0.1,0.10000000002155988,0.1226943800848185,0.1,0.10684399334608348
6,6,19,3,30,4,0.10000057275649038,0.10000000000232896,1.1828312055364072,0.1,0.1,0.10000000000295249,0.12341813445901076,0.1,0.10486119835392134
6,6,19,3,31,4,0.10000017970909664,0.10000000000039488,1.1834212619302047,0.1,0.1,0.1000000000003739,0.1242868098312093,0.1,0.10340285963983196
6,6,19,3,32,4,0.10000005400709368,0.10000000000006283,1.1834461123552333,0.1,0.1,0.1000000000000438,0.12531718219507706,0.1,0.10234776255360035
6,6,19,3,33,4,0.10000001554691706,0.10000000000000939,1.182985574637285,0.1,0.1,0.10000000000000475,0.12652888545360738,0.1,0.10159663547328758
6,6,19,3,34,4,0.10000000428719041,0.10000000000000132,1.1820957968161825,0.1,0.1,0.10000000000000048,0.12794497154903822,0.1,0.1010703384586983
6,6,19,3,35,4,0.10000000113252995,0.10000000000000017,1.1808112170113163,0.1,0.1,0.10000000000000005,0.12959257668772262,0.1,0.10070731627954213
6,6,19,3,36,4,0.1000000002866028,0.10000000000000003,1.179146624660206,0.1,0.1,0.1,0.13150371135348285,0.1,0.10046077481081919
6,6,19,3,37,4,0.10000000006948052,0.1,1.1770990158271741,0.1,0.1,0.1,0.13371619557497677,0.1,0.1002958996394798
6,6,19,3,38,4,0.10000000001613575,0.1,1.1746490313646927,0.1,0.1,0.1,0.13627476494247612,0.1,0.10018731478780657
6,6,19,3,39,4,0.10000000000358958,0.1,1.171761850165401,0.1,0.1,0.1,0.13923237658694643,0.1,0.10011688435517402
6,6,19,3,40,4,0.10000000000076491,0.1,1.1683874727809396,0.1,0.1,0.1,0.1426517471467012,0.1,0.10007189118270551
