Ward,RequestType,CrimeType,Correlation,UselessData
17,1,1,0.270355465,-0.160359989
17,1,9,0.251245114,-0.167926743
17,1,6,0.769931706,0.03744749
17,1,5,0.20064277,-0.187962768
17,1,7,0.534694453,-0.055694826
17,1,8,0.505694997,-0.067177176
18,1,2,0.347695234,-0.129737266
18,1,3,0.405991691,-0.106654753
18,1,4,0.147797004,-0.208887077
18,1,1,0.2517022,-0.167745759
18,1,9,0.38002125,-0.116937763
18,1,6,0.781656368,0.042089876
18,1,5,0.099063723,-0.228183045
18,1,7,0.576646542,-0.039083874
18,1,8,0.565703911,-0.043416614
19,1,2,0.67963441,0.001694227
19,1,3,0.580690444,-0.037482688
19,1,4,0.568860235,-0.042166866
19,1,1,0.723362842,0.019008523
19,1,9,0.682777116,0.002938584
19,1,6,0.862210141,0.073985185
19,1,5,0.604079032,-0.028221965
19,1,7,0.722572261,0.018695492
19,1,8,0.654193871,-0.008378968
20,1,2,0.239999477,-0.172379459
20,1,3,0.141368817,-0.211432321
20,1,4,0.083272516,-0.234435582
20,1,1,0.250260362,-0.168316656
20,1,9,0.282279739,-0.155638566
20,1,6,0.761296057,0.0340282
20,1,5,0.189996313,-0.192178238
20,1,7,0.516400337,-0.062938391
20,1,8,0.639934496,-0.014024975
21,1,2,0.365353335,-0.122745531
21,1,3,0.054706096,-0.245746472
21,1,4,0.129826621,-0.21600246
21,1,1,0.330902311,-0.136386433
21,1,9,0.217343487,-0.18135011
21,1,6,0.936193438,0.103278911
21,1,5,0.247129557,-0.169556299
21,1,7,0.542899404,-0.052446071
21,1,8,0.555525869,-0.047446615
22,1,2,0.546465213,-0.051034187
22,1,3,0.409472995,-0.105276329
22,1,4,0.462918641,-0.084114497
22,1,1,0.524128398,-0.059878461
22,1,9,0.565595864,-0.043459396
22,1,6,0.874405823,0.078814072
22,1,5,0.499090418,-0.069792262
22,1,7,0.678499178,0.001244732
22,1,8,0.640572705,-0.013772275
23,1,2,0.755602745,0.03177393
23,1,3,0.739372402,0.025347517
23,1,4,0.544100398,-0.051970537
23,1,1,0.755721233,0.031820846
23,1,9,0.61641089,-0.023339159
23,1,6,0.767375578,0.03643539
23,1,5,0.460759291,-0.084969492
23,1,7,0.661005752,-0.0056818
23,1,8,0.52971339,-0.05766708
24,1,2,0.616743769,-0.023207355
24,1,3,0.393488974,-0.11160521
24,1,4,0.450368032,-0.089083917
24,1,1,0.483521358,-0.07595684
24,1,9,0.502079789,-0.068608619
24,1,6,0.864920291,0.075058271
24,1,5,0.495887561,-0.071060435
24,1,7,0.685658283,0.004079383
24,1,8,0.671227911,-0.00163433
25,1,2,0.353619762,-0.127391446
25,1,3,0.458114825,-0.08601657
25,1,4,0.27637356,-0.157977121
25,1,1,0.311818762,-0.143942575
25,1,9,0.666406861,-0.003543228
25,1,6,0.775912835,0.039815721
25,1,5,0.363860004,-0.123336817
25,1,7,0.640961786,-0.013618219
25,1,8,0.697017363,0.008577017
26,1,2,0.290503907,-0.152382202
26,1,3,0.21146944,-0.183675942
26,1,4,0.181257185,-0.195638501
26,1,1,0.279596968,-0.156700811
26,1,9,0.56432899,-0.043961015
26,1,6,0.844921669,0.067139806
26,1,5,0.241373734,-0.171835321
26,1,7,0.638380641,-0.014640224
26,1,8,0.609718026,-0.025989202
27,1,2,0.153680106,-0.206557659
27,1,3,0.154954532,-0.20605305
27,1,4,0.104720151,-0.22594338
27,1,1,0.355197901,-0.126766581
27,1,9,0.463764573,-0.08377955
27,1,6,0.858237658,0.072412279
27,1,5,0.222277709,-0.179396402
27,1,7,0.583940378,-0.036195876
27,1,8,0.657763856,-0.00696543
28,1,2,0.467136763,-0.082444329
28,1,3,0.218257396,-0.180988247
28,1,4,0.239208333,-0.172692712
28,1,1,0.35853716,-0.1254444
28,1,9,0.46858252,-0.081871881
28,1,6,0.634709867,-0.016093669
28,1,5,0.416622339,-0.102445542
28,1,7,0.634698467,-0.016098183
28,1,8,0.640836176,-0.013667954
29,1,2,0.37045905,-0.120723921
29,1,3,0.247825282,-0.169280827
29,1,4,0.194642081,-0.190338744
29,1,1,0.332530495,-0.135741753
29,1,9,0.470846015,-0.080975649
29,1,6,0.894205831,0.086653896
29,1,5,0.252186292,-0.167554083
29,1,7,0.584173615,-0.036103525
29,1,8,0.651383064,-0.009491908
30,1,2,0.312844581,-0.143536401
30,1,3,0.265598934,-0.16224334
30,1,4,0.175976613,-0.197729346
30,1,1,0.306059201,-0.146223075
30,1,9,0.45227215,-0.088329981
30,1,6,0.716926563,0.016460075
30,1,5,0.231598796,-0.175705713
30,1,7,0.644326031,-0.012286144
30,1,8,0.659694475,-0.006201
31,1,2,0.303233148,-0.147342053
31,1,3,0.400913308,-0.108665541
31,1,4,0.196203898,-0.189720341
31,1,1,0.250394181,-0.16826367
31,1,9,0.460928761,-0.084902391
31,1,6,0.698395142,0.009122549
31,1,5,0.180728602,-0.195847793
31,1,7,0.602648823,-0.028788257
31,1,8,0.631714595,-0.017279649
32,1,2,0.71446844,0.01548678
32,1,3,0.703029402,0.010957487
32,1,4,0.490411068,-0.073228856
32,1,1,0.562584552,-0.044651726
32,1,9,0.613568714,-0.02446452
32,1,6,0.708293584,0.013041843
32,1,5,0.481140069,-0.076899712
32,1,7,0.595316503,-0.031691493
32,1,8,0.654437722,-0.008282414
33,1,2,0.245782955,-0.170089487
33,1,3,0.428798611,-0.097624341
33,1,4,0.225143116,-0.178261842
33,1,1,0.325488071,-0.138530204
33,1,9,0.581124497,-0.037310825
33,1,6,0.685488373,0.004012107
33,1,5,0.301249819,-0.148127353
33,1,7,0.545211499,-0.051530596
33,1,8,0.606882582,-0.027111898
34,1,2,0.308297635,-0.145336766
34,1,3,0.142427362,-0.211013189
34,1,4,0.067187474,-0.240804463
34,1,1,0.353414721,-0.127472632
34,1,9,0.402737315,-0.107943325
34,1,6,0.800713651,0.049635617
34,1,5,0.2018719,-0.187476093
34,1,7,0.513199633,-0.064205711
34,1,8,0.58774996,-0.03468747
35,1,2,0.747781178,0.028676976
35,1,3,0.791909055,0.046149433
35,1,4,0.573032531,-0.040514843
35,1,1,0.723834827,0.019195406
35,1,9,0.734349945,0.023358873
35,1,6,0.828588442,0.060672656
35,1,5,0.652267327,-0.009141784
35,1,7,0.653419001,-0.008685778
35,1,8,0.602296805,-0.028927638
36,1,2,0.291271356,-0.152078331
36,1,3,0.530650082,-0.057296197
36,1,4,0.217181,-0.181414447
36,1,1,0.260984108,-0.164070583
36,1,9,0.420859096,-0.100767996
36,1,6,0.697454393,0.008750059
36,1,5,0.149036789,-0.208396183
36,1,7,0.605527285,-0.027648528
36,1,8,0.620514457,-0.021714349
37,1,2,0.38167857,-0.116281546
37,1,3,0.066190107,-0.241199371
37,1,4,0.225995699,-0.177924262
37,1,1,0.391088612,-0.112555635
37,1,9,0.47139883,-0.080756761
37,1,6,0.728129976,0.020896073
37,1,5,0.339899923,-0.132823824
37,1,7,0.606361514,-0.027318215
37,1,8,0.705850005,0.012074306
38,1,2,0.590858612,-0.033456597
38,1,3,0.574692427,-0.039857607
38,1,4,0.363796992,-0.123361766
