day,month,hour,dayofweek,ward,hour_slot,theft,other_offenses,child_offense,sexual_crime,vehicle_theft,deceptive_practice,assault,narcotics,criminal_damage
1,5,8,1,24,2,0.007069602182612544,0.12378414812934666,0.009085084277126235,0.052430319190737804,0.00820065644326712,0.017176174770870547,0.05475357050664508,0.7272948820916462,0.0002055624077479664
1,7,0,3,22,0,0.0011324157007296042,0.2595862296928955,0.0018152081087692501,0.03273941997635778,0.0027635161524562383,0.014183709077784918,0.08935625061142498,0.5960981675067419,0.0023250831728390867
1,1,0,3,2,0,0.0018191479835784278,0.2593188495188778,0.002739857034034792,0.025645866808825565,0.0002738680391337133,0.0126195907435303,0.12778024093089307,0.5697333586144895,6.922032663589138e-05
28,10,16,1,7,4,0.01026689531865797,0.0001609702048986902,2.5326663725187645e-05,0.025406304438218095,0.8229110820971155,0.07672440428816811,0.0036646246656213133,0.0607782217116578,6.217061193690219e-05
1,1,0,2,15,0,0.0010521929694775208,0.3930226329616616,0.0023276257259798793,0.017067457451587408,0.0006156435077081523,0.006489370730126004,0.11165610146161412,0.467559166731779,0.0002098084600646685
10,7,10,2,9,2,0.014270002925335229,0.04481703391374048,0.008638691739219776,0.07587158095428503,0.060273890307012475,0.043716080270323546,0.04741731942948414,0.6974597660623785,0.0075356343982203085
24,10,17,6,15,4,0.007612765229414146,0.00019266494986546344,3.089531924023459e-06,0.012767101940820171,0.8739691178643638,0.05832608642316255,0.004193520889209354,0.04275018235719917,0.00018547081404183708
27,11,21,5,17,5,0.0012874478908596887,6.782808894129332e-06,1.0127941233095413e-08,0.0008659036074657804,0.976204521069593,0.01714673303596023,0.0006821176561721483,0.003177247363659933,0.0006292364394521095
30,5,0,6,10,0,0.01531345754310439,0.011359892236202745,0.0003991378891923116,0.20893483282874437,0.04249801223398649,0.16311148530946823,0.048866744968619265,0.5095100895506733,6.34744000834452e-06
18,2,18,2,16,4,0.06956476119408206,0.006757453481757846,5.252429218824019e-05,0.021475385273460722,0.5424265150991889,0.06778881055703542,0.05400333696165508,0.22241219390521047,0.015519019235421505
7,6,0,0,4,0,0.0031008498991688285,0.21762017099261302,0.0036904118889054733,0.06703077570179809,0.0022070114872612444,0.021047680945191747,0.07960837607053173,0.6056947169915514,6.022976716652672e-09
20,2,10,1,21,2,0.032200163444033376,0.042583819229455706,0.008604181660963637,0.08973397657773978,0.0446865754273367,0.03894864177362715,0.05817232771436844,0.6847336361552542,0.0003366780172217279
16,6,8,5,15,2,0.020890089766961113,0.030982016116947262,0.0033190089018487103,0.09030488765530183,0.08717879674875323,0.05968328277772001,0.04773316746266245,0.6472764620307625,0.012632288539042214
27,3,15,3,30,3,0.10729035773749572,0.004008706790067368,0.0005337902476556361,0.0988481896225329,0.15891760052562956,0.12896359616674774,0.03982262614187706,0.439981509151337,0.021633623616657077
1,3,0,5,34,0,0.0020562899942791935,0.272125585818537,0.0008702034346132697,0.029369837381165817,0.00014117049252870153,0.011144825142838523,0.1188120222331499,0.56546954795195,1.0517550938109535e-05
10,9,10,0,27,2,0.008154720031169856,0.05898388434939264,0.009343361284972278,0.09835608423227177,0.03316221146100664,0.031156936074716448,0.038701487172929955,0.7221401558878718,1.1595056675133422e-06
13,11,3,5,17,0,0.0013779598192734655,0.0783324470726796,0.002526149730878308,0.07381465894260991,0.03153402667451348,0.0438457184563744,0.06345783494815183,0.7031795648501729,0.0019316395053454887
1,8,0,6,24,0,0.001302916956543377,0.20619373542332348,0.0006111749367734306,0.047953187720474494,0.0029503258756591127,0.023422627264428078,0.09075637964077363,0.626799302215846,1.0349966179099018e-05
15,1,12,1,5,3,0.05041705036645219,0.03573788984699428,0.004326173104479067,0.0690119408932674,0.03941754053425827,0.055158960033691994,0.07648248944182193,0.6693647354016491,8.322037738529204e-05
1,11,9,5,7,2,0.0023949154541910147,0.03282060243012589,0.004586410669002803,0.07193700667204314,0.03420036463200059,0.053447277180733666,0.03840192048478858,0.7557270787607502,0.006484423716363201
1,12,0,0,25,0,0.00021525063564799792,0.2250217286458461,0.0036373411082534085,0.04998803807499263,0.0028703978242562455,0.013475602581856578,0.05627613194467032,0.6485154413087566,6.787572093953073e-08
17,8,9,1,17,2,0.013297999525408647,0.02998016745551155,0.008524834565243911,0.10346619730926332,0.1255721937548524,0.047208647903341165,0.034490735291283374,0.6369178849304703,0.000541339264625439
30,6,23,2,25,5,0.011939689692928659,1.3216857353499647e-05,9.90110954018323e-09,0.001464974940883889,0.9524789701508746,0.02718744389888361,0.0017275093105594307,0.004901206872456441,0.00028697837494863113
1,6,13,6,14,3,0.02292844276653155,0.03627012524310507,0.0005287146747664474,0.060254098056929155,0.10012204387735445,0.0723804498645928,0.0643512372854376,0.6423311127613539,0.0008337754699304684
20,11,18,1,31,4,0.016656644715231057,0.002090629151273361,5.107177093400735e-05,0.04067863709144194,0.5970935780124653,0.10348505514963235,0.022172225463511448,0.21765744122886588,0.00011471741664544306
1,12,0,6,18,0,0.00030191380143536177,0.144886412825376,0.0008915804929941933,0.05174295777304882,0.00759433199599779,0.03005864902243292,0.07369002516124204,0.6908032544874368,3.08744400363248e-05
