,day,month,hour,dayofweek,ward,hour_slot,theft,other_offenses,child_offense,sexual_crime,vehicle_theft,deceptive_practice,assault,narcotics,criminal_damage
0,1,1,0,3,0,0,4.62200075557191e-05,0.30277393940385017,0.0010132311494620153,0.04242561692458041,6.976569756840069e-05,0.014244712624738734,0.1302300335089182,0.5091577990718285,3.8681611497673675e-05
1,1,1,0,3,1,0,4.2453672052374303e-05,0.32221392319263337,0.0009406994573018753,0.03952271555614123,7.704584615502564e-05,0.01339716949783935,0.13243687399140924,0.4913132822403016,5.583654616769598e-05
2,1,1,0,3,2,0,3.9037367326010143e-05,0.34123921765586046,0.0008745539695808355,0.036866430469007706,8.42586376895141e-05,0.012595381518463029,0.1343040127461783,0.4739187140483103,7.839358758465936e-05
3,1,1,0,3,3,0,3.594496921957555e-05,0.35972839359893866,0.0008143817277114261,0.034442401713580685,9.127458671760333e-05,0.011840249102714813,0.1358512620419065,0.45708901361574045,0.00010707864347142525
4,1,1,0,3,4,0,3.31512332701789e-05,0.37757505049268736,0.000759778069931776,0.032236318262806915,9.796415564157511e-05,0.011132000921881947,0.13710226546766652,0.44092114116539516,0.00014233023071740628
5,1,1,0,3,5,0,3.0631969810624675e-05,0.39468837422451925,0.0007103501868799604,0.030234082591456723,0.00010420200860399617,0.010470277534365587,0.13808341976517002,0.42549451113456194,0.0001841505846326797
6,1,1,0,3,6,0,2.836419363457414e-05,0.41099304354783106,0.0006657204124394978,0.02842196669963562,0.00010987102232260823,0.009854221887765259,0.1388228654006323,0.4108719738970957,0.0002319729386433794
7,1,1,0,3,7,0,2.6326241271710755e-05,0.4264285945631138,0.0006255290691772746,0.02678675141980049,0.00011486587992268308,0.009282571073092355,0.13934957885728588,0.3971012107174408,0.00028457217889343633
8,1,1,0,3,8,0,2.4497852934018793e-05,0.44094835717457226,0.0005894367634636425,0.025315843930411464,0.00011909610995112881,0.00875374482819805,0.1396925849435277,0.3842163934717514,0.00034004492519118805
9,1,1,0,3,9,0,2.2860219515269112e-05,0.45451807393500815,0.0005571260925516064,0.023997371214450048,0.00012248847281243154,0.008265927520042621,0.13988029550162429,0.37223997905348366,0.000395877990513388
10,1,1,0,3,10,0,2.1395997495965023e-05,0.46711430428045825,0.0005283027799947786,0.02282024953470517,0.00012498863814144103,0.007817141528263474,0.1399399723734144,0.36118453336476913,0.00044911150275859856
11,1,1,0,3,11,0,2.0089296204143797e-05,0.4787227087869142,0.0005026962948885902,0.021774231744419188,0.00012656213660508514,0.00740531099400895,0.13989730720255075,0.35105450690016926,0.0004965866442406527
12,1,1,0,3,12,0,1.8925642687421405e-05,0.48933629991794175,0.00048006003470912764,0.020849935396095854,0.00012719460589179384,0.007028315724384397,0.1397761079698132,0.3418479095508874,0.0005352511575875467
13,1,1,0,3,13,0,1.789192960514643e-05,0.498953737365132,0.0004601711626865568,0.020038855205137235,0.00012689138103134075,0.006684035633443524,0.1395980811509117,0.33355785392623494,0.0005624822458186238
14,1,1,0,3,14,0,1.6976351222582015e-05,0.507577736196347,0.00044283019129580094,0.01933336356481024,0.00012567650207596996,0.006370386468930077,0.13938269814312326,0.3261739529273944,0.0005763796547998741
15,1,1,0,3,15,0,1.6168331955061057e-05,0.5152136432799661,0.0004278603965851468,0.01872670261356115,0.0001235912268699094,0.006085347756396591,0.1391471344336141,0.3196835683131443,0.0005759836479076081
16,1,1,0,3,16,0,1.5458451124865362e-05,0.5218682212848043,0.0004151071366735172,0.01821297094723994,0.00012069214356286441,0.005826983936966611,0.13890626951943605,0.3140729131970887,0.0005613833831015619
17,1,1,0,3,17,0,1.4838366782654087e-05,0.5275486606403069,0.00040443713445689256,0.017787107558740148,0.00011704897814282865,0.005593459631499245,0.13867273482690082,0.30932801395919435,0.0005336989039747975
18,1,1,0,3,18,0,1.4300740697649229e-05,0.532261820075697,0.00039573777143596096,0.017444875065960357,0.00011274218867606467,0.0053830498757407,0.1384569960743823,0.3054355372808638,0.0004949409265467914
19,1,1,0,3,19,0,1.3839165988760145e-05,0.5360136783968517,0.00038891642800809197,0.01718284381910405,0.00010786043231331218,0.005194146070854286,0.1382674560658326,0.3023834871676004,0.0004477724534457476
20,1,1,0,3,20,0,1.3448098371960111e-05,0.5388089666888712,0.0003838998962839411,0.016998378095257123,0.0001024979851149194,0.005025258301588912,0.13811056415719314,0.30016177584975895,0.00039521092756017706
21,1,1,0,3,21,0,1.312279163155854e-05,0.5406509431040729,0.0003806338846301257,0.016889625301407467,9.675218916807609e-05,0.004875014598688709,0.1379909198220027,0.29876267188676203,0.00034031642163527353
22,1,1,0,3,22,0,1.2859237661640668e-05,0.5415412724973613,0.00037908262838491885,0.016855508905664156,9.072099622147115e-05,0.004742157662430247,0.13791135986026723,0.29818112877169956,0.00028590944030923904
23,1,1,0,3,23,0,1.265411123769401e-05,0.5414799796661592,0.0003792286179330725,0.01689572567580052,8.450067141370482e-05,0.004625539514540993,0.13787302164143514,0.2984149976434622,0.00023435245801793107
24,1,1,0,3,24,0,1.2504719535396435e-05,0.5404654559225052,0.0003810724528210916,0.017010747693299303,7.81837136896084e-05,0.004524114498693827,0.13787537799833488,0.2994651279754727,0.00018741502564752425
25,1,1,0,3,25,0,1.2408956286580491e-05,0.5384945116135531,0.00038463282812378226,0.017201829498540405,7.185704049192661e-05,0.004436930999056394,0.1379162425978803,0.3013353598986818,0.00014622656738636045
